lessonNO,name,courseNO,credits,college,seminar,备注
1,思想道德与法治,107421030,3,马克思主义学院,1秋,
2,通用英语I-1/通用英语II-1,105799020/105801020,2,外国语学院,1秋,
3,体育-1,888004010,1,体育学院,1秋,
4,新生研讨课,314030010,1,网络空间安全学院,1秋,
5,大学生心理健康,912002010,1,心理健康中心,1秋,
6,微积分（Ⅰ）-1,201137050,5,数学学院,1秋,
7,计算机系统导论,314091025,2.5,网络空间安全学院,1秋,
8,程序设计基础,314031040,4,网络空间安全学院,1秋,
9,国家安全教育,107482010,1,马克思主义学院,1秋,
10,离散数学,314090025,2.5,网络空间安全学院,1秋,
11,线性代数（理工）,201080030,3,数学学院,1春,
12,中国近现代史纲要,107060030,3,马克思主义学院,1春,
13,通用英语I-2/通用英语II-2,105800020/105802020,2,外国语学院,1春,
14,体育-2,888005010,1,体育学院,1春,
15,军事理论,900004020,2,武装部,1春,
16,微积分（Ⅰ）-2,201138040,4,数学学院,1春,
17,工程训练（Ⅰ）,905006020,2,工程训练中心,1春,
18,数据结构与算法,314092030,3,网络空间安全学院,1春,
19,网络安全管理与法律法规,314034010,1,网络空间安全学院,1春,
20,中共党史/社会主义发展史/改革开放史/新中国史/中华民族发展史,107418020/107419020/102620020/106812020/106844020,2,马克思主义学院/马克思主义学院/经济学院/历史文化学院/历史文化学院,1春,
